Student_ID,Study_Hours,Attendance,Assignments_Completed,Previous_Score,Sleep_Hours,Grade
STU226,3.2,92,10,45,7.5,B
STU227,9.8,62,7,66,4.3,A
STU228,4.5,55,9,83,6.9,A
STU229,9.0,96,1,43,5.7,B
STU230,6.7,78,7,84,7.1,A
STU231,8.2,84,6,77,4.2,A
STU232,5.5,92,10,36,8.4,B
STU233,6.2,81,9,36,8.9,B
STU234,5.4,97,1,62,8.8,A
STU235,2.8,78,4,52,7.7,C
STU236,7.5,53,9,48,4.7,B
STU237,3.5,70,4,48,7.8,C
STU238,1.2,97,10,65,4.1,B
STU239,6.8,44,3,58,4.1,C
STU240,2.6,74,9,89,5.6,A
STU241,9.5,62,2,31,6.4,C
STU242,9.6,68,4,30,7.9,B
STU243,9.2,82,6,76,7.4,A
STU244,4.3,50,2,49,6.2,C
STU245,1.1,57,8,40,5.4,D
STU246,9.4,86,8,31,9.0,A
STU247,4.9,51,1,41,6.1,C
STU248,9.7,48,3,49,6.3,B
STU249,9.7,49,10,34,4.8,B
STU250,8.7,97,9,66,8.0,A
STU251,3.7,83,5,67,7.5,B
STU252,4.5,56,6,38,5.1,C
STU253,8.7,100,4,82,4.4,A
STU254,3.9,77,10,73,7.4,A
STU255,2.5,46,2,53,7.3,D
STU256,6.0,85,8,59,5.4,B
STU257,9.4,52,6,88,8.8,A
STU258,7.3,79,5,43,4.8,A
STU259,6.1,81,9,38,6.2,B
STU260,1.9,48,1,69,8.7,C
STU261,6.5,89,5,95,6.1,A
STU262,9.9,66,6,54,7.2,A
STU263,2.3,97,5,51,6.0,C
STU264,5.7,41,6,33,5.4,B
STU265,8.9,44,6,55,8.9,B
STU266,7.7,68,7,87,6.0,A
STU267,7.3,76,4,58,8.5,B
STU268,7.3,77,8,66,5.1,B
STU269,4.2,58,7,47,5.1,C
STU270,3.6,47,9,71,4.2,C
STU271,8.3,87,7,70,7.3,A
STU272,8.3,84,3,67,5.8,B
STU273,8.8,40,3,63,8.3,B
STU274,9.2,61,8,46,6.4,B
STU275,5.6,91,5,66,8.8,A
STU276,5.5,56,4,54,4.9,C
STU277,8.2,46,8,56,8.3,B
STU278,6.8,64,6,86,7.9,A
STU279,7.3,84,2,60,7.9,A
STU280,8.2,43,4,35,8.2,C
STU281,9.0,75,4,69,7.8,A
STU282,4.0,45,6,41,7.1,C
STU283,4.4,99,6,82,4.7,B
STU284,1.8,70,1,39,4.2,D
STU285,6.2,58,8,74,8.6,A
STU286,1.3,100,6,46,7.1,C
STU287,5.2,83,3,55,8.0,B
STU288,5.9,93,9,91,6.4,A
STU289,3.6,78,2,75,4.6,C
STU290,6.3,66,8,93,4.6,B
STU291,1.3,49,10,31,7.4,C
STU292,1.3,65,3,83,6.2,D
STU293,8.4,58,5,94,5.0,A
STU294,4.2,78,6,80,6.5,A
STU295,2.1,42,10,82,4.3,B
STU296,5.7,84,6,65,6.9,A
STU297,7.9,52,4,55,5.3,C
STU298,2.9,89,3,58,8.0,C
STU299,6.6,67,4,50,5.6,B
STU300,1.8,97,1,40,6.3,D
